country,year,value
Albania,1966,26
Albania,2011,0
Algeria,1968,6
Algeria,1980,6
Angola,1979,3
Angola,1980,0
Angola,1992,8
Angola,2002,2
Argentina,1962,6
Argentina,1964,4
Argentina,1967,0
Argentina,1968,8
Argentina,1970,0
Argentina,1972,11
Argentina,1976,1
Argentina,1979,8
Argentina,1980,1
Argentina,1981,24
Argentina,1982,3
Argentina,1983,1
Argentina,1984,9
Argentina,1987,4
Argentina,1990,6
Argentina,1991,0
Argentina,1993,11
Argentina,1994,4
Argentina,1995,5
Argentina,2000,2
Argentina,2001,6
Argentina,2006,2
Argentina,2011,1
Aruba,1996,18
Australia,1952,36
Australia,1955,125
Australia,1961,2
Australia,1962,2
Australia,1969,26
Australia,1970,17
Australia,1971,36
Australia,1972,6
Australia,1973,72
Australia,1974,92
Australia,1975,131
Australia,1976,113
Australia,1977,62
Australia,1978,21
Australia,1979,22
Australia,1980,15
Australia,1981,15
Australia,1982,24
Australia,1983,31
Australia,1984,58
Australia,1985,13
Australia,1986,57
Australia,1987,89
Australia,1988,18
Australia,1989,18
Australia,1990,158
Australia,1991,85
Australia,1992,6
Australia,1993,60
Australia,1994,36
Australia,1995,36
Australia,1996,16
Australia,1997,20
Australia,1998,4
Australia,2001,43
Australia,2002,47
Australia,2003,44
Australia,2004,2
Australia,2005,49
Australia,2006,14
Australia,2007,18
Australia,2008,25
Australia,2009,72
Australia,2010,115
Australia,2011,143
Australia,2012,75
Australia,2013,54
Australia,2014,104
Austria,1964,0
Austria,1965,0
Austria,1966,1
Austria,1967,1
Austria,1968,1
Austria,1969,1
Austria,1970,1
Austria,1971,1
Austria,1972,1
Austria,1973,1
Austria,1974,0
Austria,1975,0
Austria,1978,37
Austria,1979,126
Austria,1980,54
Austria,1981,73
Austria,1982,60
Austria,1983,56
Austria,1984,58
Austria,1985,348
Austria,1986,40
Austria,1987,30
Austria,1988,12
Austria,1989,12
Austria,1990,30
Austria,1991,20
Austria,1992,20
Austria,1993,10
Austria,1994,17
Austria,1997,13
Austria,1998,23
Austria,1999,35
Austria,2000,36
Austria,2001,29
Austria,2002,95
Austria,2003,3
Austria,2004,3
Austria,2005,4
Austria,2006,63
Austria,2007,100
Austria,2008,15
Austria,2009,42
Austria,2010,48
Austria,2011,46
Austria,2012,21
Austria,2013,24
Austria,2014,19
Bahrain,2001,2
Bangladesh,1984,2
Belarus,1993,8
Belarus,1995,7
Belarus,1996,129
Belarus,1997,356
Belarus,1998,63
Belarus,1999,458
Belarus,2000,293
Belarus,2001,49
Belarus,2002,63
Belarus,2003,57
Belarus,2004,19
Belarus,2005,53
Belarus,2006,43
Belarus,2007,6
Belarus,2008,224
Belarus,2009,41
Belarus,2010,159
Belarus,2011,97
Belarus,2012,65
Belarus,2013,268
Belgium,1954,9
Belgium,1955,9
Belgium,1956,29
Belgium,1960,3
Belgium,1961,0
Belgium,1962,2
Belgium,1963,1
Belgium,1964,1
Belgium,1966,12
Belgium,1969,5
Belgium,1978,2
Belgium,1979,3
Belgium,1980,1
Belgium,1981,19
Belgium,1982,41
Belgium,1983,89
Belgium,1984,115
Belgium,1985,3
Belgium,1986,19
Belgium,1988,18
Belgium,1989,36
Belgium,1990,1
Belgium,1991,1
Belgium,1994,33
Belgium,1995,167
Belgium,1996,59
Belgium,1997,93
Belgium,1998,46
Belgium,1999,45
Belgium,2000,26
Belgium,2001,37
Belgium,2002,37
Belgium,2003,15
Belgium,2004,47
Belgium,2005,146
Belgium,2006,59
Belgium,2007,19
Belgium,2008,217
Belgium,2009,243
Belgium,2010,9
Belgium,2011,111
Belgium,2012,22
Belgium,2013,65
Bosnia-Herzegovina,2002,4
Bosnia-Herzegovina,2011,14
Botswana,2012,4
Botswana,2013,4
Brazil,1960,2
Brazil,1961,12
Brazil,1969,3
Brazil,1971,0
Brazil,1974,32
Brazil,1975,58
Brazil,1976,103
Brazil,1977,144
Brazil,1978,178
Brazil,1979,70
Brazil,1980,156
Brazil,1981,62
Brazil,1982,122
Brazil,1983,196
Brazil,1984,269
Brazil,1985,205
Brazil,1986,151
Brazil,1987,179
Brazil,1988,216
Brazil,1989,47
Brazil,1990,96
Brazil,1991,114
Brazil,1992,91
Brazil,1993,36
Brazil,1994,54
Brazil,1995,33
Brazil,1996,23
Brazil,1997,23
Brazil,1998,16
Brazil,2002,26
Brazil,2004,46
Brazil,2005,1
Brazil,2006,44
Brazil,2007,53
Brazil,2008,92
Brazil,2009,43
Brazil,2010,151
Brazil,2011,31
Brazil,2012,33
Brazil,2013,40
Brazil,2014,47
Brunei,2011,24
Bulgaria,1983,4
Bulgaria,1986,106
Bulgaria,1989,5
Bulgaria,1990,6
Bulgaria,1991,42
Bulgaria,1992,16
Bulgaria,1993,28
Bulgaria,1994,55
Bulgaria,1995,1
Bulgaria,1996,21
Bulgaria,1997,6
Bulgaria,1998,39
Bulgaria,1999,167
Bulgaria,2000,2
Bulgaria,2001,10
Bulgaria,2002,32
Bulgaria,2003,46
Bulgaria,2004,19
Bulgaria,2005,86
Bulgaria,2006,5
Bulgaria,2007,9
Bulgaria,2008,4
Bulgaria,2009,16
Bulgaria,2010,4
Bulgaria,2011,2
Bulgaria,2012,7
Bulgaria,2013,21
Bulgaria,2014,4
Cambodia,1993,0
Cambodia,1994,0
Cambodia,1995,0
Cambodia,2000,1
Canada,1950,38
Canada,1951,61
Canada,1952,274
Canada,1953,82
Canada,1954,301
Canada,1955,240
Canada,1956,244
Canada,1957,163
Canada,1958,469
Canada,1959,114
Canada,1960,50
Canada,1961,311
Canada,1962,188
Canada,1963,213
Canada,1964,252
Canada,1965,111
Canada,1966,99
Canada,1967,44
Canada,1968,192
Canada,1969,169
Canada,1970,196
Canada,1971,292
Canada,1972,326
Canada,1973,129
Canada,1974,121
Canada,1975,148
Canada,1976,328
Canada,1977,167
Canada,1978,190
Canada,1979,187
Canada,1980,164
Canada,1981,126
Canada,1982,259
Canada,1983,120
Canada,1984,108
Canada,1985,100
Canada,1986,267
Canada,1987,270
Canada,1988,153
Canada,1989,49
Canada,1990,101
Canada,1991,115
Canada,1992,143
Canada,1993,146
Canada,1994,167
Canada,1995,263
Canada,1996,159
Canada,1997,95
Canada,1998,40
Canada,1999,79
Canada,2000,74
Canada,2001,129
Canada,2002,172
Canada,2003,267
Canada,2004,270
Canada,2005,228
Canada,2006,228
Canada,2007,338
Canada,2008,229
Canada,2009,180
Canada,2010,242
Canada,2011,321
Canada,2012,341
Canada,2013,258
Canada,2014,234
Chad,1987,20
Chad,2014,1
Chile,1975,0
Chile,1978,0
Chile,1980,0
Chile,1981,0
Chile,1983,1
Chile,1986,3
Chile,1987,3
Chile,1988,4
Chile,1989,4
Chile,1991,3
Chile,1992,1
Chile,1996,29
Chile,1998,2
Chile,1999,1
Chile,2000,1
Chile,2002,1
Chile,2008,100
Chile,2014,20
China,1954,3
China,1956,39
China,1957,30
China,1958,463
China,1959,361
China,1960,285
China,1961,35
China,1962,51
China,1963,11
China,1964,61
China,1965,419
China,1966,619
China,1967,410
China,1968,680
China,1969,607
China,1970,843
China,1971,1264
China,1972,1210
China,1973,674
China,1974,511
China,1975,694
China,1976,612
China,1977,224
China,1978,617
China,1979,560
China,1980,949
China,1981,642
China,1982,1514
China,1983,1773
China,1984,1929
China,1985,1278
China,1986,1862
China,1987,2606
China,1988,1409
China,1989,1040
China,1990,941
China,1991,1315
China,1992,703
China,1993,1436
China,1994,1111
China,1995,1013
China,1996,769
China,1997,435
China,1998,353
China,1999,332
China,2000,302
China,2001,515
China,2002,518
China,2003,693
China,2004,386
China,2005,281
China,2006,643
China,2007,479
China,2008,591
China,2009,1138
China,2010,1459
