"TIV of arms exports to all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Afghanistan,,,,,,4,3,92,253,405,40,56,64,40,56,91,198,230,145,92,9,154,129,,,90,230,74,281,362,355,385,298,239,380,165,296,575,1065,2176,1900,1438,,,,,,,,,,,34,,,46,3,41,150,344,377,661,528,239,296,15086
,African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,1,,73
,Albania,14,10,11,12,14,130,151,41,47,128,62,74,46,11,7,177,74,161,265,297,250,330,134,104,134,53,5,7,5,,3,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,2825
,Algeria,,,,,,,,,,,,7,60,85,152,323,451,523,56,79,14,14,184,114,13,56,132,1075,1512,1881,1358,1236,1254,561,488,242,128,370,320,455,735,1035,20,20,182,295,83,37,98,370,412,546,249,195,242,159,300,489,1519,1065,808,1115,889,374,463,24842
,Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,238,184,105,146,111,155,241,379,558,450,493,741,1236,986,152,140,,,122,108,1,44,7,154,363,146,156,148,48,8,39,7,31,29,20,,,,31,,7776
,Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Argentina,75,445,38,4,5,0,39,14,70,166,103,205,48,19,19,7,95,129,427,226,253,369,399,237,450,155,504,184,560,454,449,860,425,1325,694,455,229,224,71,14,167,,27,14,209,43,28,105,172,267,213,6,16,12,168,3,9,24,23,16,14,46,36,41,17,12118
,Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,224,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,583
,Australia,462,365,408,153,125,637,451,445,534,412,113,40,752,204,533,900,695,759,445,828,240,309,60,701,884,96,81,268,1019,206,391,458,140,646,639,515,822,598,720,693,352,213,365,449,262,64,613,35,558,673,338,1253,679,818,491,478,744,675,445,775,1507,1583,879,333,842,34166
,Austria,,,,2,,11,73,126,51,14,7,17,11,24,74,78,61,48,1,12,108,135,103,58,58,78,48,36,8,37,205,88,107,145,13,28,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,69,42,55,23,4,281,200,301,7,8,8,6,2,3694
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,158,211,29,142,146,557,333,395,640,2836
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,33,,,,2,3,,,,,,,,,33,,,,,,,,,1,,,,,10,93
,Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,21,42,59,10,131,53,132,248,137,71,362,68,42,1,8,71,54,198,7,,299,30,54,1,10,66,63,26,20,,103,1,26,78,10,2528
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,9,2,78,44,39,70,62,45,1,55,62,127,112,59,63,3,,241,301,187,79,113,44,61,119,7,25,,185,203,266,41,8,32,10,221,88,13,,35,193,252,719,268,4541
,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,40
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,139,,,3,,75,75,75,60,516
,Belgium,198,485,920,704,411,361,682,681,888,176,92,137,193,573,648,509,105,35,216,232,528,509,512,599,111,128,177,180,410,801,589,522,438,583,575,295,98,106,422,218,320,133,48,76,49,16,3,53,55,58,35,29,56,21,15,3,26,174,202,89,31,20,28,46,103,17737
,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,1
,Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,7,,,10,3,1,3,,1,0,0,,,,,,,,,,,,,7,,,,,3,,1,0,0,20,2,,93
,Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1
,Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,1,1,15,16,1,2,3,13,10,20,33,16,1,11,30,58,25,6,,,27,18,,56,66,,11,26,17,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,2,46,685
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,167
,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,9,,,,4,,31,40,1,22,2,2,11,,11,32,71,2,,53,15,1,9,8,,,,,13,10,,,8,,368
,Brazil,,423,,133,113,375,55,151,140,129,236,212,57,131,25,150,56,218,236,110,219,181,514,601,254,515,572,553,895,407,367,64,75,92,125,89,150,246,127,742,150,168,90,58,313,248,545,473,244,367,124,630,213,100,81,224,179,189,179,184,318,313,331,259,352,16066
,Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,2,1,15,1,0,,46,65,,8,12,85,60,,13,,,,3,3,,,,,17,31,7,5,,4,1,0,0,1,2,,,33,33,229,22,15,144,907
,Bulgaria,49,61,91,363,615,305,319,456,631,165,474,522,493,537,325,371,218,329,250,532,765,395,465,290,305,394,375,492,885,322,574,961,575,492,709,586,913,429,242,333,758,339,45,1,1,1,122,,,7,,,,2,12,132,22,48,116,119,8,29,5,,,19375
,Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,8,8,9,,,0,9,1,16,9,2,2,,12,,,4,,7,,,,,,0,,,,,,18,1,4,,2,0,15,4,,5,141
,Burundi,,,,,,,,,,,,,,,,,5,2,,3,,,,0,,,,,,,1,5,3,8,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,54
,Cambodia,,,,,2,17,26,21,4,2,1,2,8,11,39,39,37,20,15,20,6,21,110,126,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,73,1,33,21,,,,,,,,,14,56,,4,34,,77,66,,1512
,Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,12,,,29,73,,1,,26,116,5,132,17,12,5,1,3,8,,3,,,,4,6,9,4,,7,6,,,5,2,,1,,10,,,20,107,643
,Canada,605,1000,1060,1629,1206,970,718,749,252,368,170,1747,1071,1017,728,527,273,243,324,504,611,455,382,80,196,223,28,28,172,235,441,452,274,647,646,919,886,788,741,67,159,751,407,194,464,397,422,362,129,193,566,537,427,152,351,123,103,455,405,99,228,344,193,216,318,31422
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,3,,,,,,9,,1,,,,,,,,,2,,,10,,,69
,Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,2,5,1,6,,,1,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,45
,Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,8,3,,,10,,,33,9,1,27,15,9,57,,,,,3,1,,,7,7,,16,,,,,17,20,75,35,38,1,4,59,57,538
,Chile,1,247,19,10,40,5,90,28,32,25,312,45,14,127,34,57,79,139,62,17,60,203,50,278,299,197,404,23,117,103,145,148,344,137,450,10,174,156,87,141,130,111,173,88,82,342,178,296,87,206,202,60,74,187,70,449,1095,662,397,335,475,316,58,47,107,11134
,China,2701,2307,3797,3512,3475,1540,2255,2126,2779,3159,2431,936,307,450,395,218,259,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,69,110,214,392,1169,1187,274,680,1494,900,383,1787,2555,2836,2893,2373,3320,3554,2900,1678,1906,1407,937,1020,1651,1715,1357,74235
,Colombia,3,8,15,12,31,13,35,16,298,10,5,64,4,22,9,13,32,15,32,121,4,35,129,165,1,287,3,8,12,36,15,28,18,301,660,10,6,4,37,224,13,70,36,68,42,35,50,196,158,44,60,278,171,147,18,16,56,234,110,248,257,145,251,162,179,5784
,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,9
,Congo,,,,,,,,,,,1,0,,0,,0,,,1,24,9,25,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,,,,,,,27,0,1,0,,,,,4,1,0,,1,27,,23,12,13,443
